import time: self [us] | cumulative | imported package
import time:      6691 |     126701 |               huggingface_hub._commit_api
import time:      3269 |       3269 |               huggingface_hub._inference_endpoints
import time:      4569 |       4569 |                 huggingface_hub._space_api
import time:      9576 |      14145 |               huggingface_hub._jobs_api
import time:      2161 |       2161 |               huggingface_hub._upload_large_folder
import time:      9020 |       9020 |               huggingface_hub.community
import time:      3988 |       3988 |               huggingface_hub.repocard_data
import time:       374 |        374 |               huggingface_hub.utils.endpoint_helpers
import time:       848 |        848 |               packaging
import time:       618 |        618 |                 packaging._structures
import time:      9095 |       9712 |               packaging.version
import time:      2440 |       2440 |                       regex._regex
import time:     18534 |      20974 |                     regex._regex_core
import time:       154 |        154 |                     regex.DEFAULT_VERSION
import time:      1593 |      22720 |                   regex._main
import time:       696 |      23415 |                 regex
import time:      1025 |       1025 |                 transformers.utils.doc
import time:      1303 |       1303 |                   transformers.utils.logging
import time:     68874 |      68874 |                   transformers.utils.import_utils
import time:      1279 |       1279 |                     glob
import time:      5237 |       5237 |                     typing_extensions
import time:      1809 |       1809 |                     torch._utils
import time:       287 |        287 |                         torch._strobelight
import time:      1939 |       1939 |                             gc
import time:       655 |       2594 |                           timeit
import time:       983 |       3577 |                         torch._strobelight.cli_function_profiler
import time:      1118 |       4980 |                       torch._strobelight.compile_time_profiler
import time:       813 |       5793 |                     torch._utils_internal
import time:       235 |        235 |                           torch._vendor
import time:       474 |        708 |                         torch._vendor.packaging
import time:       382 |        382 |                         torch._vendor.packaging._structures
import time:      5780 |       6868 |                       torch._vendor.packaging.version
import time:       448 |        448 |                       torch.version
import time:       766 |       8081 |                     torch.torch_version
import time:       113 |        113 |                     torch._rocm_init
import time:    673813 |     673813 |                     torch._C
import time:       406 |        406 |                       torch._namedtensor_internals
import time:      7344 |       7344 |                       torch.overrides
import time:      3107 |      10856 |                     torch._tensor
import time:       980 |        980 |                       torch.types
import time:      2163 |       3142 |                     torch.storage
import time:      1082 |       1082 |                       torch.amp.autocast_mode
import time:      1177 |       1177 |                       torch.amp.grad_scaler
import time:       869 |       3127 |                     torch.amp
import time:       492 |        492 |                     torch.random
import time:      3422 |       3422 |                       difflib
import time:       218 |        218 |                         pwd
import time:       574 |        574 |                         grp
import time:      3873 |       4663 |                       tarfile
import time:       809 |        809 |                       torch._weights_only_unpickler
import time:      1207 |       1207 |                       torch._sources
import time:       657 |        657 |                       mmap
import time:      4361 |      15117 |                     torch.serialization
import time:      3205 |       3205 |                     torch._tensor_str
import time:       677 |        677 |                       torch.cuda._device_limits
import time:       487 |        487 |                       torch.cuda.gds
import time:      1035 |       1035 |                       torch.cuda._utils
import time:      1170 |       1170 |                       torch.cuda.graphs
import time:       434 |        434 |                       torch.cuda.green_contexts
import time:       536 |        536 |                       torch.cuda.streams
import time:       219 |        219 |                       pynvml
import time:       960 |        960 |                         torch.cuda._memory_viz
import time:      3183 |       4143 |                       torch.cuda.memory
import time:       688 |        688 |                       torch.cuda.random
import time:       790 |        790 |                         torch.cuda.amp.autocast_mode
import time:       309 |        309 |                         torch.cuda.amp.common
import time:       349 |        349 |                         torch.cuda.amp.grad_scaler
import time:       662 |       2109 |                       torch.cuda.amp
import time:       579 |        579 |                       torch.cuda.jiterator
import time:       312 |        312 |                       torch.cuda.nvtx
import time:       315 |        315 |                       torch.cuda.profiler
import time:       178 |        178 |                       torch.cuda.sparse
import time:       871 |        871 |                             multiprocessing.process
import time:      1214 |       1214 |                             multiprocessing.reduction
import time:      1872 |       3956 |                           multiprocessing.context
import time:       706 |       4662 |                         multiprocessing
import time:      1123 |       5784 |                       torch.cuda.tunable
import time:     14802 |      33462 |                     torch.cuda
import time:       590 |        590 |                         torch.sparse._semi_structured_conversions
import time:      1411 |       1411 |                         torch.sparse._semi_structured_ops
import time:      2474 |       4473 |                       torch.sparse.semi_structured
import time:      1618 |       6091 |                     torch.sparse
import time:       952 |        952 |                     torch._compile
import time:      1336 |       1336 |                     torch._VF
import time:       969 |        969 |                           torch.nn.parameter
import time:      3147 |       3147 |                               torch._prims_common
import time:      1139 |       1139 |                                   torch.utils.backcompat
import time:      2743 |       2743 |                                   torch.utils.collect_env
import time:       755 |        755 |                                           cmd
import time:      1085 |       1085 |                                           bdb
import time:       402 |        402 |                                             codeop
import time:       750 |       1152 |                                           code
import time:       919 |        919 |                                           pprint
import time:      3070 |       6980 |                                         pdb
import time:       457 |        457 |                                                 torch.distributed._pycute.typing
import time:       698 |       1154 |                                               torch.distributed._pycute.int_tuple
import time:      1195 |       1195 |                                               torch.distributed._pycute.layout
import time:       570 |       2918 |                                             torch.distributed._pycute
import time:      2466 |       5383 |                                           torch.distributed._mesh_layout
import time:       448 |        448 |                                           torch.utils._typing_utils
import time:      1039 |       1039 |                                             torch.monitor
import time:       214 |        214 |                                               torch.distributed.logging_handlers
import time:       832 |       1045 |                                             torch.distributed.c10d_logger
import time:       257 |        257 |                                             torch.distributed.constants
import time:       771 |        771 |                                             torch.distributed.rendezvous
import time:      5878 |       8989 |                                           torch.distributed.distributed_c10d
